title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
BOROGODO,"BAIANA SYSTEM, DJ WILL LOVE, DUDA BEAT, TROPKILLAZ",borogodo,,BOROGODÓ,,"baiana system, dj will love, duda beat, tropkillaz",nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
BOROGODO,"BAIANA SYSTEM, DJ WILL LOVE, DUDA BEAT, TROPKILLAZ",borogodo,,BOROGODÓ,,"baiana system, dj will love, duda beat, tropkillaz",nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VAMOS FUGIR,ROGERIO FLAUSINO,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,rogerio flausino,t-305.415.581-2,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VAMOS FUGIR,ROGERIO FLAUSINO,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,rogerio flausino,t-305.415.581-2,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VAMOS FUGIR,ROGERIO FLAUSINO,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,rogerio flausino,t-305.415.581-2,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
BEIJINHO NO OMBRO,"DULCE MARIA,MARIANA XIMENES,VALESCA POPOZUDA",beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,"dulce maria,mariana ximenes,valesca popozuda",t-311.569.064-3,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
BEIJINHO NO OMBRO,"MARCUS MAJELLA,SAMANTHA SCHMUTZ",beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,"marcus majella,samantha schmutz",t-311.569.064-3,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INTRO,ALOK,intro,,INTRO,T-301.569.273-2,alok,t-301.569.273-2,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INTRO,ALOK,intro,,INTRO,T-304.306.407-5,alok,t-304.306.407-5,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INTRO,ALOK,intro,,INTRO,T-309.423.419-8,alok,t-309.423.419-8,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INTRO,ALOK,intro,,INTRO,T-311.595.435-9,alok,t-311.595.435-9,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INTRO,ALOK,intro,,INTRO,,alok,nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INTRO,ALOK,intro,,INTRO,T-317.818.173-8,alok,t-317.818.173-8,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
MALVADA,ZÉ FELIPE,malvada,,MALVADA,T-303.019.880-8,ze felipe,t-303.019.880-8,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
MALVADA,ZÉ FELIPE,malvada,,MALVADA,,ze felipe,nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
COISAS QUE EU SEI,FELIPE AMORIM,coisas que eu sei,,COISAS QUE EU SEI,T-042.615.531-8,felipe amorim,t-042.615.531-8,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
COISAS QUE EU SEI,FELIPE AMORIM,coisas que eu sei,,COISAS QUE EU SEI,T-042.615.531-8,felipe amorim,t-042.615.531-8,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VERMELHO,GLORIA GROOVE-,vermelho,,VERMELHO,T-313.315.106-7,gloria groove-,t-313.315.106-7,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VERMELHO,GLORIA GROOVE,vermelho,,VERMELHO,T-313.315.106-7,gloria groove,t-313.315.106-7,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VERMELHO,GLORIA GROOVE,vermelho,,VERMELHO,T-313.315.106-7,gloria groove,t-313.315.106-7,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
VINGANCA,LUAN SANTANA,vinganca,,VINGANÇA,T-040.226.902-6,luan santana,t-040.226.902-6,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
BEIJINHO NO OMBRO,VALESCA POPOZUDA,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,valesca popozuda,t-311.569.064-3,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
BEIJINHO NO OMBRO,MARCUS MAJELLA,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,marcus majella,t-311.569.064-3,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
FELICIDADE,"ANDRÉ SARATE,CAPU,SERGINHO MOAH",felicidade,,FELICIDADE,,"andre sarate,capu,serginho moah",nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
FELICIDADE,"ANDRÉ SARATE,CAPU,SERGINHO MOAH",felicidade,,FELICIDADE,,"andre sarate,capu,serginho moah",nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
FELICIDADE,"ANDRÉ SARATE,CAPU,SERGINHO MOAH",felicidade,,FELICIDADE,,"andre sarate,capu,serginho moah",nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
FELICIDADE,"ANDRÉ SARATE,CAPU,SERGINHO MOAH",felicidade,,FELICIDADE,,"andre sarate,capu,serginho moah",nan,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INVISIVEL,BAIANA SYSTEM,invisivel,,INVISÍVEL,T-327.329.923-9,baiana system,t-327.329.923-9,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INVISIVEL,BAIANA SYSTEM,invisivel,,INVISÍVEL,T-327.329.923-9,baiana system,t-327.329.923-9,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INVISIVEL,BAIANA SYSTEM,invisivel,,INVISÍVEL,T-327.329.923-9,baiana system,t-327.329.923-9,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INVISIVEL,BAIANA SYSTEM,invisivel,,INVISÍVEL,T-327.329.923-9,baiana system,t-327.329.923-9,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
INVISIVEL,BAIANA SYSTEM,invisivel,,INVISÍVEL,T-327.329.923-9,baiana system,t-327.329.923-9,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
DINGO BELL,MC TETEU,dingo bell,,DINGO BELL,T-305.213.621-3,mc teteu,t-305.213.621-3,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024,Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024.xlsx
TUDO PASSA,ADRYANA RIBEIRO,tudo passa,,TUDO PASSA,T-040.070.521-6,adryana ribeiro,t-040.070.521-6,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
PROPOSTA,LÉO E MARTINEZ,proposta,,PROPOSTA,T-313.413.810-2,leo e martinez,t-313.413.810-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FIM DE ANO,IR. CUSTÓDIA CARDOSO / ADELMA MIQUELIN / DILBER CORDEIRO / FERNANDO RIPOLI,fim de ano,,FIM DE ANO,T-322.186.020-0,ir. custodia cardoso / adelma miquelin / dilber cordeiro / fernando ripoli,t-322.186.020-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FIM DE ANO,IR. CUSTÓDIA CARDOSO / ADELMA MIQUELIN / DILBER CORDEIRO / FERNANDO RIPOLI,fim de ano,,FIM DE ANO,T-322.186.020-0,ir. custodia cardoso / adelma miquelin / dilber cordeiro / fernando ripoli,t-322.186.020-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FELIZ NATAL,CORAL DA ARQUIDIOCESE DE APARECIDA,feliz natal,,FELIZ NATAL,,coral da arquidiocese de aparecida,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FELIZ NATAL,CORAL DA ARQUIDIOCESE DE APARECIDA,feliz natal,,FELIZ NATAL,,coral da arquidiocese de aparecida,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FELIZ NATAL,CORAL DA ARQUIDIOCESE DE APARECIDA,feliz natal,,FELIZ NATAL,,coral da arquidiocese de aparecida,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
UTOPIA,BRUNO FAGLIONI / ADRIANA MELO,utopia,,UTOPIA,T-040.522.248-1,bruno faglioni / adriana melo,t-040.522.248-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
UTOPIA,BRUNO FAGLIONI / ADRIANA MELO,utopia,,UTOPIA,T-329.283.611-0,bruno faglioni / adriana melo,t-329.283.611-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
TATUAGEM,GIAN E GIOVANI,tatuagem,,TATUAGEM,,gian e giovani,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
BALA PERDIDA,ALESSANDRO E MONTENEGRO,bala perdida,,BALA PERDIDA,T-330.774.826-7,alessandro e montenegro,t-330.774.826-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AMIGO,DUDUCA E DALVAN,amigo,,AMIGO,,duduca e dalvan,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AMIGO,DUDUCA E DALVAN,amigo,,AMIGO,,duduca e dalvan,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PE. ANTONIO MARIA,maria,,MARIA,T-307.006.304-2,pe. antonio maria,t-307.006.304-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PE. ANTONIO MARIA,maria,,MARIA,T-311.953.638-4,pe. antonio maria,t-311.953.638-4,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PE. ANTONIO MARIA,maria,,MARIA,T-307.006.304-2,pe. antonio maria,t-307.006.304-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PE. ANTONIO MARIA,maria,,MARIA,T-311.953.638-4,pe. antonio maria,t-311.953.638-4,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FIM DE ANO,PE. ANTONIO MARIA,fim de ano,,FIM DE ANO,T-322.186.020-0,pe. antonio maria,t-322.186.020-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
FIM DE ANO,PE. ANTONIO MARIA,fim de ano,,FIM DE ANO,T-322.186.020-0,pe. antonio maria,t-322.186.020-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
PROPOSTA,EDUARDO E RAFAEL,proposta,,PROPOSTA,T-313.413.810-2,eduardo e rafael,t-313.413.810-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
PAU MANDADO,PEÃO DO VALLE E VALENTIN,pau mandado,,PAU MANDADO,T-322.010.789-7,peao do valle e valentin,t-322.010.789-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,TALIS E WELINGTON,saudade,,SAUDADE,T-306.509.964-7,talis e welington,t-306.509.964-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,TALIS E WELINGTON,saudade,,SAUDADE,T-039.751.632-3,talis e welington,t-039.751.632-3,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,TALIS E WELINGTON,saudade,,SAUDADE,,talis e welington,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,TALIS E WELINGTON,saudade,,SAUDADE,T-305.264.938-0,talis e welington,t-305.264.938-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
LUA,VINICIUS E ENZO,lua,,LUA,,vinicius e enzo,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
LUA,VINICIUS E ENZO,lua,,LUA,,vinicius e enzo,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
PROPOSTA,PEÃO CARREIRO E PRAIANO,proposta,,PROPOSTA,T-313.413.810-2,peao carreiro e praiano,t-313.413.810-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
DESPEDIDA,FOLIA DE REIS ESTRELA DE OURO,despedida,,DESPEDIDA,T-039.497.745-7,folia de reis estrela de ouro,t-039.497.745-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
UTOPIA,SILVIO BRITO,utopia,,UTOPIA,T-040.522.248-1,silvio brito,t-040.522.248-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
UTOPIA,SILVIO BRITO,utopia,,UTOPIA,T-329.283.611-0,silvio brito,t-329.283.611-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
NOSSAS DIFERENÇAS,BELMONTE E AMARAÍ,nossas diferencas,,NOSSAS DIFERENCAS,T-039.544.554-1,belmonte e amarai,t-039.544.554-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,ZÉ DAVELA E FABIANO,saudade,,SAUDADE,T-306.509.964-7,ze davela e fabiano,t-306.509.964-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,ZÉ DAVELA E FABIANO,saudade,,SAUDADE,T-039.751.632-3,ze davela e fabiano,t-039.751.632-3,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,ZÉ DAVELA E FABIANO,saudade,,SAUDADE,,ze davela e fabiano,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,ZÉ DAVELA E FABIANO,saudade,,SAUDADE,T-305.264.938-0,ze davela e fabiano,t-305.264.938-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AVE MARIA ,TONY ANGELI,ave maria,,AVE MARIA,T-040.076.547-0,tony angeli,t-040.076.547-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
PAU MANDADO,PEÃO DO VALLE E VALENTIN,pau mandado,,PAU MANDADO,T-322.010.789-7,peao do valle e valentin,t-322.010.789-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AVE MARIA ,THIAGO ARANCAM,ave maria,,AVE MARIA,T-040.076.547-0,thiago arancam,t-040.076.547-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
UTOPIA ,SILVIO BRITO,utopia,,UTOPIA,T-040.522.248-1,silvio brito,t-040.522.248-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
UTOPIA ,SILVIO BRITO,utopia,,UTOPIA,T-329.283.611-0,silvio brito,t-329.283.611-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AVE MARIA ,THIAGO ARANCAM,ave maria,,AVE MARIA,T-040.076.547-0,thiago arancam,t-040.076.547-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,CHICO LOBO,maria,,MARIA,T-307.006.304-2,chico lobo,t-307.006.304-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,CHICO LOBO,maria,,MARIA,T-311.953.638-4,chico lobo,t-311.953.638-4,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
CASA DE CABOCLO,PEDRO PAULO E PAULO VITOR,casa de caboclo,,CASA DE CABOCLO,,pedro paulo e paulo vitor,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AMANHÃ,DHONATAN COELHO,amanha,,AMANHÃ,T-307.004.953-1,dhonatan coelho,t-307.004.953-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
GANGORRA,LÉO RIBEIRO E PYRANY,gangorra,,GANGORRA,T-040.511.906-3,leo ribeiro e pyrany,t-040.511.906-3,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
GANGORRA,LÉO RIBEIRO E PYRANY,gangorra,,GANGORRA,,leo ribeiro e pyrany,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
CASA DE CABOCLO,PEDRO PAULO E PAULO VITOR,casa de caboclo,,CASA DE CABOCLO,,pedro paulo e paulo vitor,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
AMANHÃ,DHONATAN COELHO,amanha,,AMANHÃ,T-307.004.953-1,dhonatan coelho,t-307.004.953-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PADRE ANTONIO MARIA,maria,,MARIA,T-307.006.304-2,padre antonio maria,t-307.006.304-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PADRE ANTONIO MARIA,maria,,MARIA,T-311.953.638-4,padre antonio maria,t-311.953.638-4,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PADRE ANTONIO MARIA,maria,,MARIA,T-307.006.304-2,padre antonio maria,t-307.006.304-2,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
MARIA,PADRE ANTONIO MARIA,maria,,MARIA,T-311.953.638-4,padre antonio maria,t-311.953.638-4,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
CHEGA,LEO BUENO E JÚLIO CÉSAR,chega,,CHÊGA,T-312.562.445-1,leo bueno e julio cesar,t-312.562.445-1,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
PESADELO,TOSTÃO SANFONEIRO E RAFAELA,pesadelo,,PESADELO,T-302.808.509-4,tostao sanfoneiro e rafaela,t-302.808.509-4,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,SÁVIO E GUSTAVO,saudade,,SAUDADE,T-306.509.964-7,savio e gustavo,t-306.509.964-7,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,SÁVIO E GUSTAVO,saudade,,SAUDADE,T-039.751.632-3,savio e gustavo,t-039.751.632-3,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,SÁVIO E GUSTAVO,saudade,,SAUDADE,,savio e gustavo,nan,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
SAUDADE,SÁVIO E GUSTAVO,saudade,,SAUDADE,T-305.264.938-0,savio e gustavo,t-305.264.938-0,Tv Aparecida Unificado  Dez 2023 jan mar 2024,Tv Aparecida Unificado  Dez 2023 jan mar 2024.xlsx
ABISMO,MANU BAHTIDÃO,abismo,,ABISMO,T-303.016.284-2,manu bahtidao,t-303.016.284-2,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
ABISMO,MANU BAHTIDÃO,abismo,,ABISMO,T-315.588.616-7,manu bahtidao,t-315.588.616-7,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
ANOITECEU,ASSIS VALENTE,anoiteceu,,ANOITECEU,T-311.955.867-3,assis valente,t-311.955.867-3,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
HEY JOE,ULTRAJE A RIGOR,hey joe,,HEY JOE,T-310.669.168-9,ultraje a rigor,t-310.669.168-9,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
NEGA,NOVA BANDA DO RATINHO,nega,,NEGA,T-305.218.709-0,nova banda do ratinho,t-305.218.709-0,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
BEIJINHO NO OMBRO,VALESKA POPOZUDA,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,valeska popozuda,t-311.569.064-3,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
BEIJINHO NO OMBRO,VALESKA POPOZUDA,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,valeska popozuda,t-311.569.064-3,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
BEIJINHO NO OMBRO,VALESKA POPOZUDA,beijinho no ombro,,BEIJINHO NO OMBRO,T-311.569.064-3,valeska popozuda,t-311.569.064-3,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
NOITE,NILSINHO E CESAR MENOTTI,noite,,NOITE,T-306.926.957-0,nilsinho e cesar menotti,t-306.926.957-0,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
DIANA,NOVA BANDA DO RATINHO,diana,,DIANA,,nova banda do ratinho,nan,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
SEBASTIANA,NOVA BANDA DO RATINHO,sebastiana,,SEBASTIANA,,nova banda do ratinho,nan,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
SEM SENTIMENTO,MC DESIRRE,sem sentimento,,SEM SENTIMENTO,,mc desirre,nan,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
SEM SENTIMENTO,MC DESIRRE,sem sentimento,,SEM SENTIMENTO,T-323.105.005-4,mc desirre,t-323.105.005-4,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
DOMINGO,TITÃS,domingo,,DOMINGO,T-307.003.485-0,titas,t-307.003.485-0,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
DOMINGO,TITÃS,domingo,,DOMINGO,T-301.991.455-3,titas,t-301.991.455-3,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
CORAÇÃO,LUZ/GIL FERRAZ/NATASCHA PIVA,coracao,,CORAÇÃO,,luz/gil ferraz/natascha piva,nan,SBT Unificado  nov dez 23 e jan fev mar 24,SBT Unificado  nov dez 23 e jan fev mar 24.xlsx
