title_supplier,artist,title_norm,author_norm,title_ref,author,author_norm_supplier,author_norm_ref,provider,file
Vamos Fugir,Gabriel Elias,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,gabriel elias,t-305.415.581-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Temporal,Marina Sena,temporal,,TEMPORAL,T-307.003.180-6,marina sena,t-307.003.180-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Welcome,Yoùn,welcome,,WELCOME,,youn,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Me Chama,"Leo Gandelman,Lobão",me chama,,ME CHAMA,T-311.953.645-3,"leo gandelman,lobao",t-311.953.645-3,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Welcome,Yoùn,welcome,,WELCOME,,youn,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Visceral,Fran,visceral,,VISCERAL,,fran,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Camomila,Kell Smith,camomila,,CAMOMILA,T-322.010.798-8,kell smith,t-322.010.798-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Visceral,Fran,visceral,,VISCERAL,,fran,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Camomila,Kell Smith,camomila,,CAMOMILA,T-322.010.798-8,kell smith,t-322.010.798-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Carolina,Rodrigo Lampreia,carolina,,CAROLINA,,rodrigo lampreia,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Felicidade,Rodrigo Lampreia,felicidade,,FELICIDADE,,rodrigo lampreia,nan,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Eu Sei,Gabriel Elias,eu sei,,EU SEI,T-323.310.474-6,gabriel elias,t-323.310.474-6,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Vamos Fugir,Gabriel Elias,vamos fugir,,VAMOS FUGIR,T-305.415.581-2,gabriel elias,t-305.415.581-2,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
Camomila,Kell Smith,camomila,,CAMOMILA,T-322.010.798-8,kell smith,t-322.010.798-8,Clipes Unificados_nov Dez 2023,Clipes Unificados_nov Dez 2023.xlsx
